start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1902-04-08 03:00:00,16,1.46,0.22,1902-04-08 19:00:00,1.462121357,0.11136109,0.783639553352941,0.11136109,0.783639553352941,1.462121357
1902-04-29 03:00:00,27,1.4,0.3,1902-04-30 06:00:00,0.340311214,-0.584259077,0.0409787283214286,-0.584259077,0.0409787283214286,0.340311214
1902-05-03 00:00:00,2,0.13,0.11,1902-05-03 02:00:00,0.431581597,0.414465034,0.423960424666667,0.414465034,0.423960424666667,0.431581597
1902-05-20 07:00:00,3,0.32,0.16,1902-05-20 10:00:00,-0.282838468,-0.29094614,-0.287576259,-0.29094614,-0.287576259,-0.282838468
1902-05-25 15:00:00,7,0.41,0.34,1902-05-25 22:00:00,-0.357553401,-0.383641672,-0.365612800125,-0.383641672,-0.365612800125,-0.357553401
1902-05-26 21:00:00,17,1.14,0.17,1902-05-27 14:00:00,-0.454834998,-0.53009819,-0.483163017777778,-0.53009819,-0.483163017777778,-0.454834998
1902-06-07 13:00:00,7,0.11,0.08,1902-06-07 20:00:00,-0.097144717,-0.151376175,-0.12048898025,-0.151376175,-0.12048898025,-0.097144717
1902-06-16 18:00:00,6,0.33,0.13,1902-06-17 00:00:00,-0.119661605,-0.448816904,-0.277882354142857,-0.448816904,-0.277882354142857,-0.119661605
1902-06-19 08:00:00,3,0.5,0.47,1902-06-19 11:00:00,-0.286330146,-0.318389914,-0.30142548725,-0.318389914,-0.30142548725,-0.286330146
1902-06-21 05:00:00,11,1.43,0.48,1902-06-21 16:00:00,0.349656109,0.243653185,0.312680670666667,0.243653185,0.312680670666667,0.349656109
1902-06-25 21:00:00,6,1.97,1.03,1902-06-26 03:00:00,0.524830328,0.44255351,0.499326734,0.44255351,0.499326734,0.524830328
1902-06-29 08:00:00,9,1.26,0.3,1902-06-29 17:00:00,-0.299504514,-0.410083833,-0.3520459562,-0.410083833,-0.3520459562,-0.299504514
1902-06-30 17:00:00,13,0.42,0.21,1902-07-01 06:00:00,0.799685879,0.354272189,0.665945417857143,0.354272189,0.665945417857143,0.799685879
1902-07-03 12:00:00,7,0.81,0.59,1902-07-03 19:00:00,0.223999848,-0.045473814,0.09978772975,-0.045473814,0.09978772975,0.223999848
