"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1905-06-06 17:00:00,2,0.13,0.1,1905-06-06 19:00:00,-0.755,0.178,1.243
1905-06-07 05:00:00,4,0.37,0.27,1905-06-07 09:00:00,-0.955,0.7244,2.546
1905-06-12 12:00:00,4,0.44,0.25,1905-06-12 16:00:00,-3.356,-1.8956,-0.456
1905-06-22 17:00:00,6,0.14,0.07,1905-06-22 23:00:00,-1.955,0.244142857142857,2.044
1905-06-24 01:00:00,11,0.2,0.03,1905-06-24 12:00:00,-3.255,-0.455833333333333,2.044
1905-07-01 21:00:00,9,0.29,0.12,1905-07-02 06:00:00,-1.257,0.8246,2.844
1905-07-02 17:00:00,3,0.11,0.09,1905-07-02 20:00:00,-3.054,-1.95525,-0.856
1905-07-11 12:00:00,3,1.28,0.69,1905-07-11 15:00:00,-2.956,-1.831,-0.755
1905-07-12 16:00:00,5,0.13,0.12,1905-07-12 21:00:00,-3.556,-1.15466666666667,1.946
1905-07-13 05:00:00,7,0.41,0.31,1905-07-13 12:00:00,-3.156,-0.45475,1.946
1905-07-22 14:00:00,5,0.19,0.07,1905-07-22 19:00:00,-1.755,0.712,2.146
1905-07-23 02:00:00,5,0.48,0.39,1905-07-23 07:00:00,-1.555,0.994666666666667,2.546
1905-08-05 15:00:00,2,1.21,0.64,1905-08-05 17:00:00,0.745,1.71166666666667,2.546
1905-08-06 10:00:00,2,2.38,2.11,1905-08-06 12:00:00,-2.556,-1.72266666666667,-0.955
1905-08-06 21:00:00,2,0.36,0.35,1905-08-06 23:00:00,-1.257,-0.521666666666667,0.246
1905-08-09 09:00:00,11,0.64,0.18,1905-08-09 20:00:00,-3.556,-0.888583333333333,1.545
1905-08-10 07:00:00,8,0.13,0.08,1905-08-10 15:00:00,-2.556,-0.4,1.243
1905-08-12 18:00:00,2,0.8,0.7,1905-08-12 20:00:00,-4.157,-3.48866666666667,-2.854
1905-08-13 17:00:00,3,1,0.67,1905-08-13 20:00:00,-4.255,-3.28,-2.254
1905-08-15 02:00:00,6,0.37,0.13,1905-08-15 08:00:00,-1.857,0.501428571428571,3.143
1905-08-15 18:00:00,5,0.23,0.19,1905-08-15 23:00:00,-3.054,-1.805,-0.656
1905-08-25 06:00:00,16,2.25,1.01,1905-08-25 22:00:00,-3.455,-0.467352941176471,2.044
